date,production cut
1998-03-30,1
1998-06-24,1
1998-11-26,1
1999-03-23,1
2000-03-29,1
2001-03-17,1
2002-12-12,1
2003-09-24,1
2004-02-10,1
2004-12-10,1
2006-09-11,1
2006-12-14,1
2008-10-24,1
2008-12-17,1
2016-09-28,1
2016-11-30,1
2018-12-07,1
2019-12-06,1
2020-03-05,1
2020-04-09,1
2022-10-05,1
